Preventing glitches and short circuits in high-level self-timed chip specifications,Longfield, Stephen
Preventing glitches and short circuits in high-level self-timed chip specifications,Nkounkou, Brittany
Preventing glitches and short circuits in high-level self-timed chip specifications,Manohar, Rajit
Preventing glitches and short circuits in high-level self-timed chip specifications,Tate, Ross
Algorithmic debugging of real-world haskell programs: deriving dependencies from the cost centre stack,Faddegon, Maarten
Algorithmic debugging of real-world haskell programs: deriving dependencies from the cost centre stack,Chitil, Olaf
Tree dependence analysis,Weijiang, Yusheng
Tree dependence analysis,Balakrishna, Shruthi
Tree dependence analysis,Liu, Jianqiao
Tree dependence analysis,Kulkarni, Milind
Monitoring refinement via symbolic reasoning,Emmi, Michael
Monitoring refinement via symbolic reasoning,Enea, Constantin
Monitoring refinement via symbolic reasoning,Hamza, Jad
Relaxing safely: verified on-the-fly garbage collection for x86-TSO,Gammie, Peter
Relaxing safely: verified on-the-fly garbage collection for x86-TSO,Hosking, Antony L
Relaxing safely: verified on-the-fly garbage collection for x86-TSO,Engelhardt, Kai
Verification of producer-consumer synchronization in GPU programs,Sharma, Rahul
Verification of producer-consumer synchronization in GPU programs,Bauer, Michael
Verification of producer-consumer synchronization in GPU programs,Aiken, Alex
Efficient execution of recursive programs on commodity vector hardware,Ren, Bin
Efficient execution of recursive programs on commodity vector hardware,Jo, Youngjoon
Efficient execution of recursive programs on commodity vector hardware,Krishnamoorthy, Sriram
Efficient execution of recursive programs on commodity vector hardware,Agrawal, Kunal
Efficient execution of recursive programs on commodity vector hardware,Kulkarni, Milind
Asynchronous programming  analysis and testing with state machines,Deligiannis, Pantazis
Asynchronous programming  analysis and testing with state machines,Donaldson, Alastair F
Asynchronous programming  analysis and testing with state machines,Ketema, Jeroen
Asynchronous programming  analysis and testing with state machines,Lal, Akash
Asynchronous programming  analysis and testing with state machines,Thomson, Paul
Making numerical program analysis fast,Singh, Gagandeep
Making numerical program analysis fast,"P{\""u}schel", Markus
Making numerical program analysis fast,Vechev, Martin
Relatively complete counterexamples for higher-order programs,Nguyš_Ûn, Ph{\'u}c C
Relatively complete counterexamples for higher-order programs,Van Horn, David
Concurrency debugging with differential schedule projections,Machado, Nuno
Concurrency debugging with differential schedule projections,Lucia, Brandon
Concurrency debugging with differential schedule projections,Rodrigues, Lu{\'\i}s
Interactive parser synthesis by example,Leung, Alan
Interactive parser synthesis by example,Sarracino, John
Interactive parser synthesis by example,Lerner, Sorin
Lightweight  flexible object-oriented generics,Zhang, Yizhou
Lightweight  flexible object-oriented generics,Loring, Matthew C
Lightweight  flexible object-oriented generics,Salvaneschi, Guido
Lightweight  flexible object-oriented generics,Liskov, Barbara
Lightweight  flexible object-oriented generics,Myers, Andrew C
Synthesizing racy tests,Samak, Malavika
Synthesizing racy tests,Ramanathan, Murali Krishna
Synthesizing racy tests,Jagannathan, Suresh
Zero-overhead metaprogramming: reflection and metaobject protocols fast and without compromises,Marr, Stefan
Zero-overhead metaprogramming: reflection and metaobject protocols fast and without compromises,Seaton, Chris
Zero-overhead metaprogramming: reflection and metaobject protocols fast and without compromises,Ducasse, St{\'e}phane
A formal C memory model supporting integer-pointer casts,Kang, Jeehoon
A formal C memory model supporting integer-pointer casts,Hur, Chung-Kil
